,episode,alizarin_crimson,bright_red,cadmium_yellow,phthalo_green,prussian_blue,sap_green,titanium_white,van_dyke_brown,black_gesso,burnt_umber,indian_yellow,phthalo_blue,yellow_ochre,liquid_black,midnight_black,liquid_clear,dark_sienna,indian_red
238,S19E05,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
239,S19E06,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0
240,S19E07,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0
241,S19E08,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
242,S19E09,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0
243,S19E10,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0
244,S19E11,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0
245,S19E12,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0
246,S19E13,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
247,S20E01,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
248,S20E02,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0
249,S20E03,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0
250,S20E04,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
251,S20E05,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
252,S20E06,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0
253,S20E07,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
254,S20E08,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0
255,S20E09,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
256,S20E10,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
257,S20E11,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
258,S20E12,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
259,S20E13,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
260,S21E01,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0
261,S21E02,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0
262,S21E03,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0
263,S21E04,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0
264,S21E05,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0
265,S21E06,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0
266,S21E07,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
267,S21E08,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0
268,S21E09,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0
269,S21E10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
270,S21E11,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0
271,S21E12,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
272,S21E13,1,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0
273,S22E01,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1
274,S22E02,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
275,S22E03,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
276,S22E04,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
277,S22E05,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0
278,S22E06,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
279,S22E07,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
280,S22E08,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
281,S22E09,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
282,S22E10,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
283,S22E11,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
284,S22E12,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0
285,S22E13,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0
286,S23E01,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0
287,S23E02,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0
288,S23E03,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
289,S23E04,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0
290,S23E05,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
291,S23E06,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0
292,S23E07,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0
293,S23E08,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
294,S23E09,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
295,S23E10,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
296,S23E11,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0
297,S23E12,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0
298,S23E13,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
299,S24E01,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
300,S24E02,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0
301,S24E03,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0
302,S24E04,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0
303,S24E05,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0
304,S24E06,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
305,S24E07,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0
306,S24E08,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
307,S24E09,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
308,S24E10,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0
309,S24E11,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
310,S24E12,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
311,S24E13,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0
312,S25E01,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
313,S25E02,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
314,S25E03,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0
315,S25E04,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0
316,S25E05,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
317,S25E06,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
318,S25E07,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0
319,S25E08,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
320,S25E09,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
321,S25E10,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0
322,S25E11,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0
323,S25E12,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
324,S25E13,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
325,S26E01,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
326,S26E02,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0
327,S26E03,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
328,S26E04,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0
329,S26E05,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
330,S26E06,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0
331,S26E07,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0
332,S26E08,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
333,S26E09,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0
334,S26E10,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
335,S26E11,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0
336,S26E12,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
337,S26E13,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0
338,S27E01,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0
339,S27E02,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
340,S27E03,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
341,S27E03,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
342,S27E05,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0
343,S27E06,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0
344,S27E07,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
345,S27E08,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0
346,S27E09,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0
347,S27E10,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0
348,S27E11,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0
349,S27E12,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0
350,S27E13,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0
351,S28E01,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
352,S28E02,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0
353,S28E03,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
354,S28E04,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0
355,S28E05,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0
356,S28E06,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
357,S28E07,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0
358,S28E08,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0
359,S28E09,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
360,S28E10,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
361,S28E11,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0
362,S28E12,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
363,S28E13,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0
364,S29E01,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
365,S29E02,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0
366,S29E03,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
367,S29E04,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0
368,S29E05,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
369,S29E06,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0
370,S29E07,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0
371,S29E08,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
372,S29E09,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0
373,S29E10,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
374,S29E11,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
